Companyname,Phone,Address
Unitech Enterprises,090000 25785,"2-2-185/3/6, Ramakrishna Nagar, Amberpet, Hyderabad, Telangana 500013"
Ac repair - Ac repair Services fridge washing machine repair in Hyderabad,077310 01005,"H.NO: 8-77 Swathi Estates, vikasnagar, Dilsukhnagar,, near Andhra Bank, Hyderabad, Telangana 500060"
Prime Aircon - Ac Repair Services Near me Installation Best Split Ac Repair doorstep in Hyderabad | Fridge repair near me,079974 75201,"1-5-237, 1, Rd No. 2, Phanigiri Colony, Kothapet, Hyderabad, Telangana 500035"
Cool Point A/C,096188 73179,"9GCJ+G9F, Lakshmi Childrens Hospital Rd, Chaitanyapuri Colony, Balaji Residency, Moosa Ram Bagh, Dilsukhnagar, Hyderabad, Telangana 500060"
AS - cctv camera & AC installation repair services in hyderabad,080085 10209,"16-11-337, Musarambagh, East Prasanth Nagar, Dilsukhnagar, Hyderabad, Telangana 500036"
Polar General Services,088855 90218,"16-11-511/D/361, st, 9, Shalivahana Nagar, Moosarambagh, Hyderabad, Telangana 500036"
AC Repair Hyderabad,097033 43331,"pillar no 85, 13-6-434/C/40, Maruthi Nagar, Mehdipatnam, Hyderabad, Telangana 500008"
AL-kareem service centre,097035 92028,"9GFV+394, SBI Colony, Kothapet, Hyderabad, Telangana 500035"
ac repair services hyderabad,077025 31405,"1-11-13, near bank of baroda, Balaji Residency, Moosa Ram Bagh, Dilsukhnagar, Hyderabad, Telangana 500060"
God Gift - AC Works AC Repair Services in Hyderabad AC installation Fridge Repair services Lb nagar,089193 44041,"H.no.03-06-381/1,shop no. 2 Krishna nagar bhadurguda lb nagar to saroor nagar road Near tnr apts, L. B. Nagar, Telangana 500074"
Laxmikala Air Conditioners,098666 44433,"G- 7 Ground Floor, Sreeman Rama Tower, Chaitanyapuri Main Rd, near Swagath Hotel, Millenium Residency, Krishna Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
car Ac repair center,063035 44803,"ozone hospital, naer khilla maisamma temple, NTR nagar, left side lane, Kothapet, Hyderabad, Telangana 500074"
Lanco Car Ac Works,093924 36622,"Prajay Apartments, 1, Rd Number 1, opposite Road, polkampally, Kothapet, Hyderabad, Telangana 500035"
AA Techno Services,040 2404 2990,"17-139, VV Nagar Rd, VR Colony, Kamala Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Lakshmi Refrigeration & Electrical Works,094409 86582,"6-16/2 Road 6 Bhavaninagar Near Bhasyam School Dilsukhnagar, Hyderabad, Telangana 500060"
sasri services,099125 16558,"1-42 plot, AP State Housing Board, Hanumannagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Quick Aircon - Fridge Washing Machine AC Apppliances Repair Services in Hydrabad,099857 78226,"2-3734/51, 6 Number X Rd, Zinda Tilismath Nagar, Amberpet, Hyderabad, Telangana 500013"
Fine Auto Cool Services Centre,099666 62781,"16-2-741/C/8/2, T V Tower, B K Function Palace, Opputi Bank, Moosarambagh, Moosarambagh, Hyderabad, 500036"
Asian Home Care,091823 54690,"3-3-41,Masjid E Mohammedia, Masjid Rd, L. B. Nagar, Telangana 500074"
M.R. Car Air Conditioning Service Center,097041 78110,"#16-11-20/5/2, VN Reddy Complex, Moosarambagh Rd, Srinagar Colony, Malakpet Extension, Amberpet, Hyderabad, Telangana 500036"
Cool Point AC and Fridge Servicing Repair LB nagar,096188 73179,"1-8-154/1, NO:5, Chandrapuri Colony, opp. Vijaya Lakshmi Theatre, L. B. Nagar, Hyderabad, Telangana 500074"
Royal car a/c works,073370 75465,"Champapet Rd, opp. Bharath Gardens Function Hall, Saroornagar, Vinayak Nagar Colony, Saroor Nagar West, Saidabad, Hyderabad, Telangana 500059"
Bluestar Service Center,085000 38839,"S.NO, 2-3-604/104, Ahmed Nagar, Patel Nagar, Amberpet, Hyderabad, Telangana 500013"
Bharat Car Air Conditioner Service Centre,098485 12839,"DMRL 'X' Road, Inner Ring Rd, Santosh Nagar, Hyderabad, Telangana 500058"
24 (Twenty Four Degree Celsius),096423 49376,"9HC6+GF2, Road No. 5, Cooperative Bank Colony, Nagole, Hyderabad, Telangana 500068"
Cool Touch Car AC services,099499 41787,"4, Saroor Nagar Rd, Sri Shankar Colony, RTC Colony, L. B. Nagar, Hyderabad, Telangana 500074"
RM Car AC Service Centre,098483 57952,"Saroornagar, Balaji Nagar, Saroor Nagar West, Saidabad, Bairamalguda, Hyderabad, Telangana 500079"
Mega Cool Point,088865 48087,"LB Nagar - Uppal Rd, Sai Harsa Residency, Aaditya Nagar, Nagole, Hyderabad, Telangana 500068"
Chill Aircon,098490 84339,"16-2-701/6/13, Basappa Building, Malakpet, Chaitanyapuri Main Rd, Anand Nagar Colony, New Malakpet, Hyderabad, Telangana 500036"
SS Techno Services - Uppal,099669 60697,"Venkateswara Colony, Vijayapuri Colony, Uppal, Hyderabad, Telangana 500039"
Blue Star AC Air Conditioner Service Center,073820 62363,"9GCH+297, Ravi Residency, Krishna Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
COOL CARE A/C WORKS,073066 63850,"Plot no.5, Hp petrol bunk, Vinayakanagar Colony, L. B. Nagar, Mansoorabad, Hyderabad, Telangana 500068"
AtoZ Refrigeration,099854 13103,"#Hno-2-18-97, near E seva, kalyani puri, Uppal stadium, Uppal, Hyderabad, Telangana 500039"
